"battle","start_date","end_date"
"AL003",1864-08-29,1864-08-29
"AL006",1865-04-18,1865-04-18
"AR001",1862-03-08,1862-03-08
"GA004",1863-09-20,1863-09-23
"GA022",1864-09-04,1864-09-04
"KY009",1862-10-11,1862-10-11
"LA001",1862-04-28,1862-04-28
"LA010",1863-07-16,1863-07-16
"LA018",1864-04-21,1864-04-21
"MD003",1862-09-18,1862-09-18
"MO004",1861-08-14,1861-08-14
"MO012",1862-04-09,1862-04-09
"MO027",1864-10-28,1864-10-28
"MS002",1862-10-06,1862-10-06
"MS009",1863-05-23,1863-05-23
"MS011",1863-07-07,1863-07-07
"NC015",1865-01-17,1865-01-17
"NC020",1865-03-29,1865-03-29
"NM002",1862-04-15,1862-04-15
"PA002",1863-07-02,1863-07-04
"SC001",1861-04-13,1861-04-15
"TN002",1862-02-12,1862-02-17
"TN003",1862-04-09,1862-04-09
"TN010",1863-01-03,1863-01-05
"TN024",1863-11-24,1863-11-26
"TN036",1864-12-02,1864-12-02
"TN038",1864-12-16,1864-12-16
"VA005",1861-07-22,1861-07-22
"VA017",1862-07-03,1862-07-03
"VA021",1862-07-04,1862-07-04
"VA026",1862-08-29,1862-09-01
"VA028",1862-12-12,1862-12-16
"VA032",1863-05-01,1863-05-07
"VA046",1864-05-07,1864-05-10
"VA048",1864-05-12,1864-05-22
"VA062",1864-06-01,1864-06-05
"VA063",1864-06-16,1864-06-20
"VA070",1864-08-01,1864-08-01
"VA084",1865-03-25,1865-03-25
"VA089",1865-04-03,1865-04-03
"VA097",1865-04-10,1865-04-10
"VA104",1862-05-26,1862-05-26
"VA119",1864-09-20,1864-09-20
"VA122",1864-10-20,1864-10-20
